video_id,labels,top1,top1_rate,top2,top2_rate,top3,top3_rate,top4,top4_rate,top5,top5_rate
IqnDeca2-Zw,"['Music', 'Howl', 'Speech']",Speech,0.5755375,"Domestic animals, pets",0.057443637,Animal,0.056477267,Dog,0.05341346,Music,0.03947378
PRU9zAtcQDs,['Howl'],Siren,0.27418032,Alarm,0.26625836,Animal,0.26117268,Howl,0.24758896,"Domestic animals, pets",0.17622326
Z11Dd4oe9So,"['Canidae, dogs, wolves', 'Howl', 'Animal']",Music,0.117427126,Howl,0.065743886,Animal,0.051498473,Alarm,0.036874603,Wild animals,0.036541805
6GjsjhAbXRo,"['Domestic animals, pets', 'Howl', 'Dog', 'Animal']",Howl,0.5699138,Animal,0.56976664,Dog,0.56776804,"Domestic animals, pets",0.5538398,"Canidae, dogs, wolves",0.33208933
SzY85V52hgo,['Howl'],Howl,0.25764292,Animal,0.25738674,"Canidae, dogs, wolves",0.16898017,"Domestic animals, pets",0.15404117,Dog,0.10469888
JpOT3z8wZlc,"['Howl', 'Speech', 'Traffic noise, roadway noise']",Speech,0.26559955,Vehicle,0.24939749,Motor vehicle (road),0.103575505,Car,0.07592655,"Outside, urban or manmade",0.06899531
yrpBzVXqs8g,"['Canidae, dogs, wolves', 'Bark', 'Howl', 'Yip', 'Bow-wow', 'Speech', 'Dog', 'Inside, small room']",Animal,0.7992753,"Domestic animals, pets",0.78304,Dog,0.7728967,Bark,0.3117011,Howl,0.29555872
6GjsjhAbXRo,"['Domestic animals, pets', 'Howl', 'Dog', 'Animal']",Howl,0.5699138,Animal,0.56976664,Dog,0.56776804,"Domestic animals, pets",0.5538398,"Canidae, dogs, wolves",0.33208933
FIktp5ggvX4,"['Laughter', 'Canidae, dogs, wolves', 'Bark', 'Domestic animals, pets', 'Howl', 'Giggle', 'Bow-wow', 'Speech', 'Dog', 'Animal']","Domestic animals, pets",0.39707455,Animal,0.34963116,Dog,0.34138113,Speech,0.19225928,Howl,0.12063333
L28CnhmeAD4,"['Canidae, dogs, wolves', 'Howl', 'Dog', 'Animal']",Animal,0.5097928,Howl,0.4281972,Siren,0.34405366,Alarm,0.30105296,"Canidae, dogs, wolves",0.27549595
PRU9zAtcQDs,['Howl'],Siren,0.27418032,Alarm,0.26625836,Animal,0.26117268,Howl,0.24758896,"Domestic animals, pets",0.17622326
o6MKemr9e4Y,"['Canidae, dogs, wolves', 'Domestic animals, pets', 'Howl', 'Speech', 'Dog', 'Animal']",Speech,0.2721017,Howl,0.114122495,"Domestic animals, pets",0.0941637,Dog,0.093223855,Animal,0.0731261
WFJ96PH4rvo,"['Canidae, dogs, wolves', 'Domestic animals, pets', 'Howl', 'Dog', 'Animal']",Dog,0.24436614,"Domestic animals, pets",0.23266539,Animal,0.22410388,Howl,0.18287794,"Inside, small room",0.16116351
F2FjmfvmRa0,"['Bark', 'Domestic animals, pets', 'Howl', 'Bow-wow', 'Dog', 'Animal']",Animal,0.9007438,Dog,0.85202044,"Domestic animals, pets",0.85106754,Howl,0.7571733,"Canidae, dogs, wolves",0.485988
Mr2kGT6i7e4,"['Canidae, dogs, wolves', 'Music', 'Domestic animals, pets', 'Howl', 'Speech', 'Dog', 'Animal']",Speech,0.4367639,Animal,0.09715953,"Domestic animals, pets",0.09503986,Dog,0.0920025,Howl,0.079511605
kQQrsmLvoCE,"['Canidae, dogs, wolves', 'Music', 'Domestic animals, pets', 'Howl', 'Yip', 'Dog', 'Animal', 'Inside, small room']",Music,0.57834756,"Domestic animals, pets",0.13784413,Animal,0.13782254,Dog,0.13562985,Howl,0.08719674
MAhYAMZ50VI,"['Music', 'Howl', 'Speech', 'Animal', 'Inside, large room or hall']",Speech,0.3528368,"Domestic animals, pets",0.18337557,Animal,0.17410405,Dog,0.10104166,Cat,0.08729398
MAhYAMZ50VI,"['Music', 'Howl', 'Speech', 'Animal', 'Inside, large room or hall']",Speech,0.3528368,"Domestic animals, pets",0.18337557,Animal,0.17410405,Dog,0.10104166,Cat,0.08729398
ymuNh7Cwhrs,"['Domestic animals, pets', 'Howl', 'Dog', 'Animal', 'Inside, small room']",Silence,0.34248355,Animal,0.22191796,"Domestic animals, pets",0.21297796,Dog,0.1754317,"Crying, sobbing",0.0839636
wILfzGo6uV0,"['Howl', 'Animal']",Music,0.16648737,Animal,0.09667759,Mallet percussion,0.075303316,Glockenspiel,0.06929847,Alarm,0.06884617
6A9tDfvsZC0,"['Music', 'Domestic animals, pets', 'Howl', 'Dog', 'Animal']",Music,0.6637174,Harmonica,0.35393417,Musical instrument,0.2826754,"Wind instrument, woodwind instrument",0.24765301,Accordion,0.11340622
FIktp5ggvX4,"['Laughter', 'Canidae, dogs, wolves', 'Bark', 'Domestic animals, pets', 'Howl', 'Giggle', 'Bow-wow', 'Speech', 'Dog', 'Animal']","Domestic animals, pets",0.39707455,Animal,0.34963116,Dog,0.34138113,Speech,0.19225928,Howl,0.12063333
bltHehYBdy8,"['Domestic animals, pets', 'Howl', 'Dog', 'Animal']",Alarm,0.21604724,Siren,0.21366897,"Crying, sobbing",0.15251124,Whimper,0.13100943,Police car (siren),0.122355774
Z11Dd4oe9So,"['Canidae, dogs, wolves', 'Howl', 'Animal']",Music,0.117427126,Howl,0.065743886,Animal,0.051498473,Alarm,0.036874603,Wild animals,0.036541805
2rW2I6KmWhw,"['Music', 'Domestic animals, pets', 'Howl', 'Yip', 'Dog', 'Animal', 'Whimper (dog)']",Music,0.65401137,Singing,0.05479451,Opera,0.036359105,Classical music,0.02365105,Whimper,0.023167765
N6e5C5sXdBI,"['Domestic animals, pets', 'Howl', 'Dog', 'Animal']",Animal,0.8968264,"Domestic animals, pets",0.55260295,Dog,0.32728654,Fowl,0.2771182,"Chicken, rooster",0.2510892
NF1lwZ24RYI,"['Canidae, dogs, wolves', 'Bark', 'Domestic animals, pets', 'Howl', 'Bow-wow', 'Dog', 'Growling', 'Animal']","Domestic animals, pets",0.90244406,Dog,0.8946444,Animal,0.8881528,Howl,0.51237845,"Canidae, dogs, wolves",0.37390882
CsRF3qYnSLI,"['Canidae, dogs, wolves', 'Howl']","Domestic animals, pets",0.8199738,Dog,0.813691,Animal,0.8070016,Howl,0.72733825,"Canidae, dogs, wolves",0.4249584
yhA_TTKetyM,"['Domestic animals, pets', 'Howl', 'Dog', 'Animal', 'Whimper (dog)']",Animal,0.6644741,"Domestic animals, pets",0.620535,Dog,0.60248685,Howl,0.5467242,"Canidae, dogs, wolves",0.389232
3LvZUtupOCs,"['Canidae, dogs, wolves', 'Domestic animals, pets', 'Howl', 'Yip', 'Speech', 'Dog', 'Animal', 'Whimper (dog)']",Animal,0.43157965,"Livestock, farm animals, working animals",0.22364616,Fowl,0.21818829,"Chicken, rooster",0.20549795,"Domestic animals, pets",0.19911218
gCHF0oBPZv8,"['Canidae, dogs, wolves', 'Domestic animals, pets', 'Howl', 'Speech', 'Dog', 'Animal']",Alarm,0.18898115,Fire alarm,0.14149213,Speech,0.13114306,Dog,0.09892298,"Domestic animals, pets",0.09427543
PrAm5YVvXx8,"['Domestic animals, pets', 'Howl', 'Dog', 'Animal']","Domestic animals, pets",0.7993116,Animal,0.7886245,Dog,0.75278175,Howl,0.4577446,"Canidae, dogs, wolves",0.298563
Mr2kGT6i7e4,"['Canidae, dogs, wolves', 'Music', 'Domestic animals, pets', 'Howl', 'Speech', 'Dog', 'Animal']",Speech,0.4367639,Animal,0.09715953,"Domestic animals, pets",0.09503986,Dog,0.0920025,Howl,0.079511605
CsRF3qYnSLI,"['Canidae, dogs, wolves', 'Howl']","Domestic animals, pets",0.8199738,Dog,0.813691,Animal,0.8070016,Howl,0.72733825,"Canidae, dogs, wolves",0.4249584
WFJ96PH4rvo,"['Canidae, dogs, wolves', 'Domestic animals, pets', 'Howl', 'Dog', 'Animal']",Dog,0.24436614,"Domestic animals, pets",0.23266539,Animal,0.22410388,Howl,0.18287794,"Inside, small room",0.16116351
BFEeNJkKx6g,"['Canidae, dogs, wolves', 'Domestic animals, pets', 'Howl', 'Bow-wow', 'Dog', 'Growling', 'Animal']",Animal,0.9564351,Dog,0.92458785,"Domestic animals, pets",0.9141833,Howl,0.85741055,"Canidae, dogs, wolves",0.48339462
bDdf_ft5rb4,"['Canidae, dogs, wolves', 'Music', 'Domestic animals, pets', 'Howl', 'Dog', 'Animal']",Music,0.4840158,Silence,0.1418145,Animal,0.108950816,Speech,0.09039605,Fowl,0.08590704
wYNKH0Ou9vM,"['Domestic animals, pets', 'Howl', 'Speech', 'Dog', 'Animal']",Speech,0.33804467,Animal,0.21342316,"Domestic animals, pets",0.20090775,Dog,0.19040252,Howl,0.0929227
yrpBzVXqs8g,"['Canidae, dogs, wolves', 'Bark', 'Howl', 'Yip', 'Bow-wow', 'Speech', 'Dog', 'Inside, small room']",Animal,0.7992753,"Domestic animals, pets",0.78304,Dog,0.7728967,Bark,0.3117011,Howl,0.29555872
dvzwRooVGJI,['Howl'],Pour,0.18188849,"Trickle, dribble",0.16128108,Liquid,0.16024779,Water,0.10993087,Music,0.104398966
ASUgGJpwlMs,"['Canidae, dogs, wolves', 'Domestic animals, pets', 'Howl', 'Dog', 'Animal']",Music,0.31408158,Silence,0.14761792,Singing bowl,0.10200849,Howl,0.091638,Humming,0.06768577
Ee4EHJ_4mqI,"['Canidae, dogs, wolves', 'Howl', 'Speech']",Speech,0.7312598,Music,0.23308864,Mallet percussion,0.007555476,"Marimba, xylophone",0.005868161,Doorbell,0.0051031928
hMsu6w5Ay44,"['Horse', 'Walk, footsteps', 'Clip-clop', 'Animal']",Horse,0.65453136,Clip-clop,0.61802876,"Livestock, farm animals, working animals",0.43427235,Animal,0.29332685,Run,0.19399008
2pikqXJeOAg,"['Horse', 'Clip-clop', 'Animal']",Clip-clop,0.1557661,Animal,0.14874853,Horse,0.12287189,"Livestock, farm animals, working animals",0.09228076,Fire,0.081632644
-0jeONf82dE,"['Horse', 'Music', 'Neigh, whinny', 'Speech', 'Animal']",Speech,0.4817822,Music,0.33791196,"Livestock, farm animals, working animals",0.08027347,Horse,0.07594454,Animal,0.07398148
DegSrwcSF3k,"['Horse', 'Neigh, whinny', 'Clip-clop', 'Animal']",Animal,0.5010707,"Domestic animals, pets",0.2838717,Dog,0.2607505,Wild animals,0.15982053,Bird,0.10793637
5mHtxFuikDs,"['Horse', 'Run', 'Clip-clop', 'Speech', 'Animal']",Door,0.081964836,Speech,0.081010215,Animal,0.079087645,Dog,0.07603451,"Domestic animals, pets",0.07598216
ag4qUrpH9qo,"['Horse', 'Animal']",Music,0.087750494,Speech,0.07320397,"Splash, splatter",0.072685115,Run,0.06186967,Liquid,0.05273033
IzmlHf6JXFI,"['Horse', 'Neigh, whinny', 'Animal']",Vehicle,0.19549952,"Boat, Water vehicle",0.07817374,Wind,0.075743034,Wind noise (microphone),0.06546333,Animal,0.06462268
8YSDo1wTo3M,"['Horse', 'Neigh, whinny', 'Speech', 'Animal']",Animal,0.18284348,Speech,0.11199613,Fowl,0.090959236,"Livestock, farm animals, working animals",0.09023633,Dog,0.07846768
HIDb-C5YRa4,"['Horse', 'Music', 'Cheering', 'Speech']",Music,0.1594045,Speech,0.068301775,Crowd,0.04365421,Cheering,0.033599257,"Inside, large room or hall",0.032845907
GvRM_UnjJoE,"['Horse', 'Clip-clop', 'Animal']",Clip-clop,0.3176734,Horse,0.30522606,"Livestock, farm animals, working animals",0.18897353,Animal,0.13650852,Speech,0.11489904
Qy6DeQnCHuU,"['Horse', 'Clip-clop', 'Animal']",Animal,0.9554456,"Livestock, farm animals, working animals",0.88322705,Horse,0.8001795,Clip-clop,0.71872836,Pig,0.023650628
Tqnv3P3DB2E,"['Horse', 'Child speech, kid speaking']",Music,0.666303,Speech,0.21135299,"Livestock, farm animals, working animals",0.017336108,Animal,0.014827246,Music for children,0.014233728
ALNk7_3zj68,"['Theme music', 'Horse', 'Music', 'Speech', 'Animal']",Music,0.88184464,Brass instrument,0.053555824,Orchestra,0.037971765,Trombone,0.0376046,Jazz,0.032999426
HxrZDr0Vm5A,"['Horse', 'Speech', 'Animal']",Speech,0.5332823,Animal,0.16645539,"Livestock, farm animals, working animals",0.10800336,Clip-clop,0.103974484,Horse,0.10004665
WY9C9lG955k,"['Horse', 'Speech', 'Animal']",Speech,0.24680758,Animal,0.106305405,Clip-clop,0.10470264,Horse,0.103294834,Skateboard,0.08289158
2b0eM8lWGCQ,"['Horse', 'Neigh, whinny', 'Clip-clop', 'Animal']","Neigh, whinny",0.33026016,Horse,0.32344228,"Livestock, farm animals, working animals",0.25726837,Animal,0.24553165,Clip-clop,0.13122472
Flusa6-SaDM,"['Horse', 'Clip-clop', 'Speech', 'Livestock, farm animals, working animals', 'Animal']",Speech,0.48548275,Animal,0.08026568,Vehicle,0.04533886,Clip-clop,0.041214075,Skateboard,0.038364522
gWgWw9oYDcw,"['Horse', 'Neigh, whinny', 'Speech', 'Animal']",Animal,0.4797953,Speech,0.27555987,"Livestock, farm animals, working animals",0.26006186,Horse,0.23965661,Dog,0.22794376
BYCS5mUdVUg,"['Horse', 'Music', 'Middle Eastern music', 'Song', 'Animal']",Music,0.61717594,Animal,0.039618284,"Rodents, rats, mice",0.025205677,Wild animals,0.020388398,Mouse,0.015020007
dRXiRijSNOE,"['Bird', 'Horse', 'Environmental noise', 'Speech', 'Livestock, farm animals, working animals']",Pour,0.1821554,"Trickle, dribble",0.15396789,Liquid,0.13744123,Animal,0.12814257,Water,0.11433105
f-DZlg2DFWE,"['Horse', 'Music', 'Neigh, whinny', 'Hip hop music', 'Animal']",Music,0.5688452,"Neigh, whinny",0.28211302,Horse,0.27780312,Animal,0.2699884,"Livestock, farm animals, working animals",0.2502302
9mu6h8pTooE,"['Horse', 'Clip-clop', 'Speech', 'Animal']",Speech,0.75143665,Clip-clop,0.04122912,Horse,0.030467417,Chop,0.028373744,"Livestock, farm animals, working animals",0.018224359
Z1EBPMbaV7w,"['Horse', 'Animal']",Clip-clop,0.3270687,"Walk, footsteps",0.28991833,Horse,0.2851945,Run,0.27944425,Animal,0.21619587
dRXiRijSNOE,"['Bird', 'Horse', 'Environmental noise', 'Speech', 'Livestock, farm animals, working animals']",Pour,0.1821554,"Trickle, dribble",0.15396789,Liquid,0.13744123,Animal,0.12814257,Water,0.11433105
FBVbrp2Br2E,"['Horse', 'Speech']",Speech,0.8002931,Music for children,0.018038118,"Child speech, kid speaking",0.013734078,"Inside, small room",0.013070348,"Jingle, tinkle",0.011020661
MUC3GjvBI7I,"['Horse', 'Clip-clop', 'Speech', 'Animal']",Horse,0.4327413,Clip-clop,0.42510086,"Livestock, farm animals, working animals",0.32222694,Animal,0.32167464,Speech,0.13609186
HIDb-C5YRa4,"['Horse', 'Music', 'Cheering', 'Speech']",Music,0.1594045,Speech,0.068301775,Crowd,0.04365421,Cheering,0.033599257,"Inside, large room or hall",0.032845907
5mHtxFuikDs,"['Horse', 'Run', 'Clip-clop', 'Speech', 'Animal']",Door,0.081964836,Speech,0.081010215,Animal,0.079087645,Dog,0.07603451,"Domestic animals, pets",0.07598216
MUC3GjvBI7I,"['Horse', 'Clip-clop', 'Speech', 'Animal']",Horse,0.4327413,Clip-clop,0.42510086,"Livestock, farm animals, working animals",0.32222694,Animal,0.32167464,Speech,0.13609186
xaVyr2v9G2c,"['Horse', 'Neigh, whinny', 'Speech', 'Animal']",Animal,0.123580754,Vehicle,0.0639513,"Inside, small room",0.06357263,Rail transport,0.05946852,Train,0.05763315
8mhecLr6Veo,"['Horse', 'Clip-clop', 'Animal']",Clip-clop,0.18948804,Horse,0.18912105,Animal,0.16387604,"Livestock, farm animals, working animals",0.16186175,"Outside, rural or natural",0.095814355
IlrFGNeZQdo,"['Horse', 'Music', 'Speech']",Speech,0.40174374,Music,0.34494144,Groan,0.0069877757,Rapping,0.0066709397,Hip hop music,0.005410581
8mhecLr6Veo,"['Horse', 'Clip-clop', 'Animal']",Clip-clop,0.18948804,Horse,0.18912105,Animal,0.16387604,"Livestock, farm animals, working animals",0.16186175,"Outside, rural or natural",0.095814355
LaiJ0mPbbdk,"['Horse', 'Music', 'Neigh, whinny', 'Speech', 'Animal']",Speech,0.21062905,Music,0.17572549,Animal,0.1387698,"Livestock, farm animals, working animals",0.11525611,"Neigh, whinny",0.1071778
HIDb-C5YRa4,"['Horse', 'Music', 'Cheering', 'Speech']",Music,0.1594045,Speech,0.068301775,Crowd,0.04365421,Cheering,0.033599257,"Inside, large room or hall",0.032845907
IzmlHf6JXFI,"['Horse', 'Neigh, whinny', 'Animal']",Vehicle,0.19549952,"Boat, Water vehicle",0.07817374,Wind,0.075743034,Wind noise (microphone),0.06546333,Animal,0.06462268
2pikqXJeOAg,"['Horse', 'Clip-clop', 'Animal']",Clip-clop,0.1557661,Animal,0.14874853,Horse,0.12287189,"Livestock, farm animals, working animals",0.09228076,Fire,0.081632644
126AbihZt28,"['Horse', 'Clip-clop', 'Speech', 'Animal']",Speech,0.34309635,Animal,0.24772626,Clip-clop,0.13000882,Horse,0.119249284,"Livestock, farm animals, working animals",0.10380691
M4wVyP9D5Qk,"['Horse', 'Music', 'Neigh, whinny', 'Clip-clop', 'Speech', 'Animal']",Speech,0.32520232,Music,0.18500797,Water,0.03877663,Animal,0.035223864,Rain,0.0331944
4UnUrylORBM,"['Horse', 'Neigh, whinny', 'Speech', 'Animal']",Silence,0.45210528,Speech,0.26173523,"Inside, small room",0.013393785,Animal,0.010387519,"Livestock, farm animals, working animals",0.005864746
hMsu6w5Ay44,"['Horse', 'Walk, footsteps', 'Clip-clop', 'Animal']",Horse,0.65453136,Clip-clop,0.61802876,"Livestock, farm animals, working animals",0.43427235,Animal,0.29332685,Run,0.19399008
OYWhhc1k8sI,"['Horse', 'Music', 'Animal']",Music,0.38677868,Flute,0.12924883,Clip-clop,0.11439749,Horse,0.10305475,Animal,0.09647912
LaiJ0mPbbdk,"['Horse', 'Music', 'Neigh, whinny', 'Speech', 'Animal']",Speech,0.21062905,Music,0.17572549,Animal,0.1387698,"Livestock, farm animals, working animals",0.11525611,"Neigh, whinny",0.1071778
8TVOesBBLPg,"['Horse', 'Neigh, whinny', 'Speech', 'Animal']",Speech,0.32424706,Animal,0.1523505,"Livestock, farm animals, working animals",0.13272595,Fowl,0.12249021,Goose,0.08798849
8TVOesBBLPg,"['Horse', 'Neigh, whinny', 'Speech', 'Animal']",Speech,0.32424706,Animal,0.1523505,"Livestock, farm animals, working animals",0.13272595,Fowl,0.12249021,Goose,0.08798849
